No.,pIC50
1,4.456
2,4.347
3,6.046
4,6.71
5,6.947
6,6.038
7,6.903
8,7.699
9,7.119
10,7.086
11,7.194
12,7.585
13,6.347
14,6.512
15,6.057
16,6.108
17,7.678
18,8.046
19,7.921
20,7.921
21,7.921
22,6.076
23,6.31
24,6.194
25,5.721
26,5.638
27,6.319
28,6.509
29,6.167
30,6.065
31,6.468
32,6.959
33,7.301
34,8.155
35,7.26
36,6.921
37,6.959
38,7.745
39,7.174
40,6.721
41,5.886
42,6.366
43,6.444
44,5.854
45,5.886
46,5.347
47,6.824
48,6.456
49,7.276
50,6.076
51,6.523
52,7.244
53,6.886
54,6.468
55,7.076
56,7.091
57,6.733
58,6.971
59,7.678
60,6.288
61,6.197
62,6.824
63,7.638
64,7.523
65,8.155
66,7.523
67,6.468
68,7.046
69,7.337
70,8.187
71,8.046
72,7.959
73,8
74,8.155
75,8.155
76,7.62
77,8.155
78,7.553
79,8.301
80,7.796
81,8.097
82,7.222
83,7.886
84,7.569
85,8.155
86,8.046
87,8.046
88,7.244
89,8.301
90,6.62
91,8.155
92,7.921
93,8
